Latitude,Longitude,SiGeothermometry,SiGeothermometry_StdErr
31.5001464,-108.7506211,61.1014633,18.5142765
31.5101464,-108.7506211,61.1018143,18.5151749
31.4901464,-108.7506211,61.1011162,18.5133553
31.5001464,-108.7406211,61.1016769,18.5140572
31.5001464,-108.7606211,61.1012917,18.5144119
31.5001476,-108.5006142,59.4082031,8.7943392
31.5101476,-108.5006142,60.1219826,12.6032219
31.4901476,-108.5006142,59.1720695,8.1674738
31.5001476,-108.4906142,59.9222946,11.8245993
31.5001476,-108.5106142,59.3627281,8.7349939
32.1612274,-108.8346278,109.7785339,19.6040325
32.1561278,-108.7796263,54.5615005,11.7245045
32.1505276,-108.8516282,91.1516571,14.7639999
32.1502277,-108.8266275,116.8077698,13.8268242
32.1463279,-108.8026269,64.9387131,10.2877588
32.1460278,-108.8366278,117.7296677,8.056694
32.1434279,-108.8298276,114.5240326,12.3125715
32.141128,-108.8216273,96.376709,18.4021664
32.1395279,-108.8386278,93.3176727,10.4219961
32.1392279,-108.8526282,68.5899887,6.1126604
32.1354281,-108.8306276,91.7464142,16.4167862
32.1339282,-108.811627,73.0044937,17.4345665
32.1336281,-108.8336276,84.6387482,15.1744061
32.1333282,-108.8256274,84.9723663,18.9329433
32.1275283,-108.8416278,65.8274765,9.5594435
32.1234281,-108.8976293,45.5495491,7.6891942
32.1216284,-108.848628,59.283165,6.1297674
32.1168281,-108.9339303,50.0258141,14.7344809
32.1137289,-108.7976265,59.3885155,16.3324146
32.1102288,-108.8376276,62.2119904,9.8853245
32.100629,-108.8426276,59.7656059,5.0997882
32.0949292,-108.8266272,60.0447006,11.0923681
32.0721297,-108.8676281,57.2107658,14.488286
32.0687294,-108.9326299,53.6953011,16.0991516
32.0682301,-108.7976262,58.2578964,16.0413036
32.0571297,-108.9496303,54.2651558,16.3634377
32.0510304,-108.830627,61.106739,16.1571465
32.0296311,-108.8116263,62.3927231,17.3634186
32.0134311,-108.8996286,58.1886292,16.694006
32.0119322,-108.6926229,56.5562096,14.0024414
32.0088316,-108.8336268,67.0383301,18.2528572
32.008432,-108.7606248,58.4055786,16.4300003
31.9715328,-108.7948255,59.6666107,13.3752508
31.9577335,-108.7376238,47.7559319,10.9359045
31.9572336,-108.7166232,52.9065819,12.3857527
